Genome	M1C	M2C	M3C	M4C	Marinobacter_CB1	Marinobacter_CBIA	Marinobacter_CBIW17	Marinobacter_CBIW18	adhaerens	algicola	antarcticus	aromaticivorans	bohaiensis	changyiensis	confluentis	daepoensis	daqiaonensis	excellens	flavimaris	fonticola	fuscus	gelidimuriae	gudaonensis	guineae	halophilus	halotolerans	hydrocarbonoclasticus	lipolyticus	litoralis	lutaoensis	manganoxydans	maritimus	mobilis	nanhaiticus	nitratireducens	pelagius	persicus	piscensis	profundi	psychrophilus	salarius	salexigens	salicampi	salinus	salsuginis	santoriniensis	segnicrescens	shengliensis	similis	subterrani	vinifirmus	vulgaris	zhejiangensis
Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	2	2	2	2	0	3	0	2	1	1	1	0	1	2	1	1	1	0	1	1	1	1	0	0	0	1	1	0	2	1	1	1	1	1	1	0	1	0	1	3	1	1	1	1	1	1	1	0	1	0	2	0	1
Uncharacterized membrane protein YheB, UPF0754 family	1	1	1	1	0	1	0	2	4	2	2	2	2	2	2	2	0	2	2	2	1	1	2	2	2	2	2	3	2	2	2	2	3	2	2	2	0	1	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2
Uncharacterized conserved protein YaeQ, suppresses RfaH defect	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tRNA (Thr-GGU) A37 N-methylase	1	1	1	1	0	1	0	0	2	1	1	1	1	1	1	1	1	1	2	1	1	0	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
Type II secretory pathway, component PulC	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase	1	1	1	1	0	0	0	0	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Anaerobic selenocysteine-containing dehydrogenase	2	2	2	2	2	2	0	4	3	3	3	4	3	3	5	4	2	3	4	3	6	1	3	3	3	5	2	3	2	1	4	4	4	5	2	2	0	3	4	4	3	7	5	3	4	4	1	4	10	4	3	4	3
Thiamine biosynthesis protein ThiC	0	0	0	0	0	0	4	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	3	1	1	1	1
DNA uptake protein ComE and related DNA-binding proteins	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Acetolactate synthase small subunit, contains ACT domain	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
Uncharacterized membrane protein RarD, contains two EamA domains	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	2	0	1	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Positive regulator of sigma E activity	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fructose-bisphosphate aldolase class 1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
ABC-type molybdate transport system, permease component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Flagellar hook assembly protein FlgD	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar motor switch protein FliG	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar motor switch/type III secretory pathway protein FliN	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Predicted histidine transporter YuiF, NhaC family	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
Chemotaxis protein histidine kinase CheA	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	2	1	0	2	1	1	2	1	1	1	1	1	1	2	2	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	1
Flagellar biosynthesis protein FliQ	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
DNA-directed RNA polymerase specialized sigma subunit	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	2	1	1	1	0	1	1
Flagellar biosynthesis/type III secretory pathway protein FliH	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar biosynthetic protein FliP	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar basal body rod protein FlgC	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar motor switch protein FliM	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	10	10	10	10	3	10	12	13	3	4	3	8	2	7	4	2	1	1	2	4	6	5	1	2	1	4	2	2	1	2	2	3	2	3	2	2	0	1	7	4	9	1	7	1	4	2	3	1	2	4	2	2	2
Negative regulator of flagellin synthesis (anti-sigma28 factor)	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar basal body-associated protein FliL	2	2	2	2	0	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2
Flagellum-specific peptidoglycan hydrolase FlgJ	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Ribonucleotide reductase beta subunit, ferritin-like domain	1	1	1	1	0	1	0	1	1	1	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Flagellar biosynthesis/type III secretory pathway ATPase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Uncharacterized membrane protein SirB2	1	1	1	1	1	0	0	0	1	0	1	1	0	1	2	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
Flagellar basal body rod protein FlgB	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
ABC-type amino acid transport system, permease component	7	7	6	7	3	5	2	3	5	4	7	2	6	4	5	1	1	1	5	4	1	5	5	8	1	6	1	2	2	3	5	4	0	8	1	3	1	2	1	15	4	2	4	7	5	4	1	2	5	8	1	4	2
Curved DNA-binding protein CbpA, contains a DnaJ-like domain	3	3	3	3	3	3	2	3	3	3	3	2	2	3	4	2	2	3	3	2	2	3	3	3	3	3	2	3	2	2	3	2	2	4	2	3	1	2	2	3	3	2	3	3	3	2	2	3	3	3	2	3	2
Proline racemase	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Uncharacterized membrane protein YbhN, UPF0104 family	3	3	3	3	2	1	1	2	2	2	3	1	2	2	2	1	2	1	2	2	1	2	2	2	2	2	2	1	0	1	2	3	0	2	1	2	1	1	1	1	2	0	3	2	2	2	3	1	3	2	2	2	0
Outer membrane protein W	2	2	2	2	2	2	2	2	2	2	3	1	3	2	0	1	2	2	2	1	1	1	2	2	2	0	2	2	1	1	2	2	1	2	1	2	1	1	3	2	2	1	2	2	1	1	1	1	0	3	1	3	1
ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Flavin-binding protein dodecin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1
Amino acid transporter	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	1	0	2	0	1	2	0	1	1	0	1	0	0	3	3	1	0	3	1	1	1	0	2	1	1	1	1	1	0	2	3	0	3	1	1	1	1
Uncharacterized membrane protein YphA, DoxX/SURF4 family	2	2	2	2	2	1	1	2	3	3	1	1	2	2	1	1	1	2	4	1	2	2	2	2	1	0	3	2	3	2	2	1	3	3	2	1	2	0	2	2	3	1	1	2	3	4	1	2	2	2	1	1	1
Uncharacterized conserved protein YqeY	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	0	0	1	1	1	0	2	1	2	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
Uncharacterized protein, contains Zn-finger domain of CDGSH type	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	0	0	1	2	0	0	0	2	2	1	2	0	1	0	1	2	0	2	1	0	2	0	0	1	0	1	1	0	1	2	1	1	0	1	1	0	2	1
Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains	3	3	3	3	6	4	3	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	4	2	3	2	2	0	3	3	2	5	1	2	1	0	2	1	2	1	2	2	1	2	2	3	2	3	2	2	1
Ketopantoate reductase	2	2	3	2	5	2	1	4	2	3	3	3	3	3	2	2	2	2	1	2	1	2	1	2	1	2	1	3	2	1	1	3	3	4	2	2	2	2	2	2	3	2	3	3	2	3	2	2	3	1	2	1	3
Selenophosphate synthase	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
Exonuclease V gamma subunit	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
Flagellar biosynthesis chaperone FliJ	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Type III secretion system substrate exporter, FlhB-like	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Uncharacterized conserved protein, FlaG/YvyC family	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Phosphoribosyl 1,2-cyclic phosphodiesterase	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	2	1	1	1	2	1	1	0	1	1	1	1	1	1
Predicted double-glycine peptidase	2	2	2	2	1	2	0	3	2	2	1	3	3	2	2	2	2	2	3	2	1	1	3	3	3	3	3	3	3	2	2	3	1	2	1	3	1	3	2	0	2	3	2	3	3	3	2	2	4	3	3	2	3
Glutamate dehydrogenase/leucine dehydrogenase	2	2	2	2	2	2	1	2	1	1	3	2	1	2	1	2	4	2	2	3	2	2	1	2	2	0	2	3	2	1	2	2	1	2	1	3	2	2	2	1	1	2	3	2	2	2	1	2	2	2	1	2	2
Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	7	7	5	7	1	9	2	2	5	7	5	4	6	5	6	8	6	7	5	5	3	1	7	5	3	6	8	5	7	5	2	4	4	6	3	7	3	4	6	8	5	4	7	7	5	6	6	7	9	4	4	5	6
Multisubunit Na+/H+ antiporter, MnhE subunit	1	1	1	1	1	1	0	0	2	1	1	1	1	2	1	2	2	3	2	1	2	2	1	1	3	1	2	1	1	1	2	1	1	1	1	2	1	1	2	3	1	1	2	2	1	1	2	3	1	1	1	3	1
NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	2	2	2	2	2	1	1	5	1	3	2	3	4	3	2	3	3	2	2	3	3	2	2	2	2	1	2	3	2	1	2	3	1	3	2	3	0	4	3	2	3	2	2	2	2	2	3	2	4	2	2	1	2
ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	1	1	1	1	1	2	1	2	2	2	1	3	1	2	1	1	1	1	3	1	1	4	2	2	2	2	1	1	1	2	2	2	1	1	1	1	3	1	1	2	3	1	1	1	2	2	1	1	4	1	2	1	1
ABC-type glycerol-3-phosphate transport system, periplasmic component	1	1	1	1	2	1	1	1	3	5	0	1	4	1	4	1	1	0	1	3	0	1	6	3	0	3	0	0	1	3	1	2	1	4	0	0	0	1	0	1	4	1	2	0	0	0	1	2	6	4	0	1	2
Uncharacterized Zn-ribbon-containing protein	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	2	1	0	1
dTDP-D-glucose 4,6-dehydratase	1	1	1	1	0	1	1	2	1	0	2	0	0	1	0	1	1	0	0	2	1	0	0	1	1	0	1	1	0	1	1	2	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	4	0	4	1	1
Uracil-DNA glycosylase	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	2	0	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	0	2	1	2	2	1	1	0	1	1	1	1	1	1
Mlc titration factor MtfA, regulates ptsG expression	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pantothenate kinase type III	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uncharacterized protein related to deoxyribodipyrimidine photolyase	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0
Predicted phosphoesterase, related to the Icc protein	1	1	1	1	0	0	0	0	1	1	0	0	0	3	1	0	1	2	3	0	1	0	1	1	1	1	2	1	1	0	1	0	1	1	0	1	1	1	1	3	1	0	1	1	1	3	4	0	1	0	3	2	1
Ribosomal protein L34	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1
ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
REP element-mobilizing transposase RayT	4	4	3	4	5	4	1	0	0	0	1	1	4	2	2	0	7	3	0	5	6	12	0	0	4	2	0	0	0	3	1	2	3	8	0	1	1	1	1	4	0	1	3	1	0	0	3	3	0	2	4	1	0
Uncharacterized membrane protein, DUF4010 family	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1
TctA family transporter	5	5	7	5	4	6	4	9	1	6	0	0	6	0	0	1	0	0	0	1	2	1	1	1	0	0	2	1	1	1	1	3	0	4	1	0	0	0	2	1	1	0	0	0	1	0	0	0	3	2	1	0	1
Transposase and inactivated derivatives, IS5 family	10	12	20	10	6	6	5	8	0	1	2	7	0	0	0	4	0	0	0	0	6	8	0	3	0	0	0	0	0	1	2	0	0	0	0	0	2	0	2	0	1	2	0	0	0	0	0	0	0	0	0	2	0
Signal transduction histidine kinase regulating C4-dicarboxylate transport system	2	2	2	2	2	2	1	2	4	3	3	3	4	5	2	5	4	3	4	4	2	2	2	4	5	2	4	3	4	3	3	5	3	3	3	4	6	3	5	3	4	4	4	3	5	3	3	5	1	2	4	3	1
Uncharacterized conserved protein, contains FIST_N domain	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATP-dependent DNA ligase	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	2	1	2	4	1	2	0	1	1	1	1	1	1	0	1	1	0	4	1	2	1	1	0	1	1	1	2	0	1	1	0	1	0	1	1	3	0
Choline dehydrogenase or related flavoprotein	2	2	2	2	1	5	1	2	6	3	2	3	4	4	1	1	4	2	8	3	1	1	3	3	3	3	4	5	2	2	7	2	4	5	3	2	2	4	4	1	3	3	6	3	3	2	1	2	4	3	1	3	1
Ribonuclease BN, tRNA processing enzyme	1	1	1	1	1	1	0	1	2	1	1	1	3	1	1	1	1	1	2	1	0	1	0	1	1	1	1	4	0	1	1	0	1	1	2	2	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	1	2
Uncharacterized lipoprotein	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Endogenous inhibitor of DNA gyrase, YacG/DUF329 family	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
Uncharacterized membrane protein MutK, may be involved in DNA repair	1	1	1	1	2	1	3	2	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1
Uncharacterized protein involved in response to NO	2	2	2	2	2	0	0	1	1	0	1	2	0	1	1	2	3	0	1	0	3	2	2	2	2	1	2	1	1	1	2	2	1	1	1	2	2	2	2	2	0	2	2	1	2	2	2	3	1	2	2	1	1
Nitrate reductase alpha subunit	1	1	1	1	2	2	0	3	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	3	1	0	1	1
2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	1	1	1	1	1	1	1	4	3	3	2	1	3	3	3	1	1	2	2	3	1	2	4	5	3	3	2	2	1	2	4	2	2	2	3	1	1	3	2	2	3	2	2	1	3	3	1	2	2	3	2	2	2
3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Protein-tyrosine-phosphatase	1	1	1	1	0	1	1	0	2	2	1	2	2	3	1	2	1	1	1	3	2	0	1	2	2	1	1	2	1	3	1	1	3	2	2	2	1	1	2	0	2	1	2	1	1	2	1	1	2	1	2	1	2
Uncharacterized conserved protein YaiE, UPF0345 family	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	2	1	1	1	1
VanZ like family protein (function unknown)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
Alkylhydroperoxidase family enzyme, contains CxxC motif	3	3	3	3	3	2	2	4	5	3	2	1	2	3	0	3	2	1	4	4	1	3	1	3	1	0	3	4	1	1	3	3	4	2	1	2	0	1	3	3	3	1	2	2	2	4	4	4	4	1	0	3	0
Carbonic anhydrase	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	2	1
Uncharacterized conserved protein GlcG, DUF336 family	4	4	4	4	1	4	0	4	1	3	2	1	1	2	1	1	1	1	1	2	1	1	1	2	0	1	1	1	1	1	1	2	1	1	1	2	2	0	1	2	2	1	2	2	1	1	0	2	1	2	0	2	1
Serine/threonine-protein kinase RIO1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Predicted NAD/FAD-dependent oxidoreductase	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NAD/NADP transhydrogenase beta subunit	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	2	1	1	1	0	1	1	1	0	1	1	2	0	0	1	1	0	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	3	1	0	1	0
Signal transduction histidine kinase, nitrate/nitrite-specific	1	1	1	1	1	2	0	2	0	1	1	2	0	1	0	1	1	0	1	0	1	1	1	1	2	1	1	1	1	0	1	3	1	2	1	1	1	1	1	1	1	1	1	1	3	1	0	1	3	1	1	1	1
Putative effector of murein hydrolase	2	2	2	2	0	2	0	1	2	2	2	2	1	2	2	2	1	1	2	1	1	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2	2	1	1	2	2	1	2	1
Predicted amino acid dehydrogenase	1	1	1	1	1	2	2	2	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	3	1	1	1	1
Heme exporter protein D	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Extracellular (periplasmic) sensor domain CHASE2 (specificity unknown)	0	0	0	0	0	0	0	0	1	1	1	3	1	1	1	2	1	1	1	2	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	1	1	1	1	1	1	1	1	1	1
HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant)	0	0	0	0	0	0	0	0	8	7	3	3	3	4	4	5	4	7	6	4	4	0	5	7	5	4	5	4	4	3	5	5	4	4	5	3	3	0	3	1	6	3	4	5	4	5	2	4	9	6	2	4	3
Na+/H+ antiporter NhaB	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	2	1
Phosphoketolase	2	2	2	2	1	1	1	1	1	0	2	3	0	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	0	2	5	2	0	0	1	1	1	1	3	1	0	2	1	1	1	2	2	1	0	2	1	1	0
Lipopolysaccharide export system protein LptC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Two-component response regulator, ActR/RegA family, consists of REC and Fis-type HTH domains	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0
Ribosomal protein L30/L7E	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA-binding transcriptional regulator, FadR family	3	3	8	3	0	2	0	2	3	2	2	2	5	1	2	3	2	2	3	1	1	2	2	3	3	2	3	3	1	2	3	4	3	5	4	3	3	1	3	3	2	2	2	2	3	3	1	3	3	2	2	3	3
